produkt_code,markt,kanal,herkunft,jahr,neugeschaeft_rate_pct,storno_rueckkauf_rate_pct,beitragsfrei_rate_pct,dynamik_annahme_rate_pct,leistungsfall_rate_pct,bemerkung
LV-RENTE,DE,direkt,pfefferminz,2023,8.4,4.46,2.36,56.4,0.6,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RENTE,DE,direkt,pfefferminz,2024,8.4,4.08,1.82,55.6,0.6,
LV-RENTE,DE,direkt,pfefferminz,2025,8.4,5.43,1.82,54.8,0.6,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-RENTE,DE,bank,alle,2016,4.8,2.73,1.65,62.0,0.6,
LV-RENTE,DE,bank,alle,2017,4.8,2.73,1.65,61.2,0.6,
LV-RENTE,DE,bank,alle,2018,4.8,2.79,1.65,60.4,0.6,
LV-RENTE,DE,bank,alle,2019,4.8,2.81,1.65,59.6,0.6,
LV-RENTE,DE,bank,pfefferminz,2020,4.08,3.0,2.15,58.8,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,DE,bank,pfefferminz,2021,4.8,2.73,1.65,58.0,0.69,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-RENTE,DE,bank,pfefferminz,2022,4.8,2.95,1.65,57.2,0.6,
LV-RENTE,DE,bank,pfefferminz,2023,4.8,3.14,2.15,56.4,0.6,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-RENTE,DE,bank,pfefferminz,2024,4.8,2.87,1.65,55.6,0.6,
LV-RENTE,DE,bank,pfefferminz,2025,4.8,3.82,1.65,54.8,0.6,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-EU,CH,agentur,alle,2016,5.0,2.89,0.85,55.0,0.35,
LV-EU,CH,agentur,alle,2017,5.0,2.89,0.85,54.2,0.35,
LV-EU,CH,agentur,alle,2018,5.0,2.95,0.85,53.4,0.35,
LV-EU,CH,agentur,alle,2019,5.0,2.98,0.85,52.6,0.35,
LV-EU,CH,agentur,pfefferminz,2020,4.25,3.18,1.11,51.8,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,CH,agentur,pfefferminz,2021,5.0,2.89,0.85,51.0,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,CH,agentur,pfefferminz,2022,5.0,3.12,0.85,50.2,0.35,
LV-EU,CH,agentur,pfefferminz,2023,5.0,3.32,1.11,49.4,0.35,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-EU,CH,agentur,pfefferminz,2024,5.0,3.03,0.85,48.6,0.35,
LV-EU,CH,agentur,pfefferminz,2025,5.0,4.05,0.85,47.8,0.35,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-EU,CH,makler,alle,2016,5.5,3.74,0.85,55.0,0.35,
LV-EU,CH,makler,alle,2017,5.5,3.74,0.85,54.2,0.35,
LV-EU,CH,makler,alle,2018,5.5,3.81,0.85,53.4,0.35,
LV-EU,CH,makler,alle,2019,5.5,3.85,0.85,52.6,0.35,
LV-EU,CH,makler,pfefferminz,2020,4.67,4.11,1.11,51.8,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,CH,makler,pfefferminz,2021,5.5,3.74,0.85,51.0,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,CH,makler,pfefferminz,2022,5.5,4.04,0.85,50.2,0.35,
LV-EU,CH,makler,pfefferminz,2023,5.5,4.3,1.11,49.4,0.35,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-EU,CH,makler,pfefferminz,2024,5.5,3.93,0.85,48.6,0.35,
LV-EU,CH,makler,pfefferminz,2025,5.5,5.24,0.85,47.8,0.35,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-EU,CH,direkt,alle,2016,7.0,4.59,0.99,55.0,0.35,
LV-EU,CH,direkt,alle,2017,7.0,4.59,0.99,54.2,0.35,
LV-EU,CH,direkt,alle,2018,7.0,4.68,0.99,53.4,0.35,
LV-EU,CH,direkt,alle,2019,7.0,4.73,0.99,52.6,0.35,
LV-EU,CH,direkt,pfefferminz,2020,5.95,5.05,1.29,51.8,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,CH,direkt,minzia,2020,10.71,6.06,1.29,43.8,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,CH,direkt,pfefferminz,2021,7.0,4.59,0.99,51.0,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,CH,direkt,minzia,2021,12.6,5.51,0.99,43.0,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,CH,direkt,pfefferminz,2022,7.0,4.96,0.99,50.2,0.35,
LV-EU,CH,direkt,minzia,2022,12.6,5.95,0.99,42.2,0.35,
LV-EU,CH,direkt,pfefferminz,2023,7.0,5.28,1.29,49.4,0.35,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-EU,CH,direkt,minzia,2023,12.6,6.33,1.29,41.4,0.35,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-EU,CH,direkt,pfefferminz,2024,7.0,4.82,0.99,48.6,0.35,
LV-EU,CH,direkt,minzia,2024,12.6,5.78,0.99,40.6,0.35,
LV-EU,CH,direkt,pfefferminz,2025,7.0,6.43,0.99,47.8,0.35,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-EU,CH,direkt,minzia,2025,12.6,6.17,0.99,39.8,0.35,
LV-EU,CH,bank,alle,2016,4.0,3.23,0.9,55.0,0.35,
LV-EU,CH,bank,alle,2017,4.0,3.23,0.9,54.2,0.35,
LV-EU,CH,bank,alle,2018,4.0,3.29,0.9,53.4,0.35,
LV-EU,CH,bank,alle,2019,4.0,3.33,0.9,52.6,0.35,
LV-EU,CH,bank,pfefferminz,2020,3.4,3.55,1.17,51.8,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,CH,bank,pfefferminz,2021,4.0,3.23,0.9,51.0,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,CH,bank,pfefferminz,2022,4.0,3.49,0.9,50.2,0.35,
LV-EU,CH,bank,pfefferminz,2023,4.0,3.71,1.17,49.4,0.35,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-EU,CH,bank,pfefferminz,2024,4.0,3.39,0.9,48.6,0.35,
LV-EU,CH,bank,pfefferminz,2025,4.0,4.52,0.9,47.8,0.35,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-EU,DE,agentur,alle,2016,5.0,3.91,1.04,55.0,0.35,
LV-EU,DE,agentur,alle,2017,5.0,3.91,1.04,54.2,0.35,
LV-EU,DE,agentur,alle,2018,5.0,3.99,1.04,53.4,0.35,
LV-EU,DE,agentur,alle,2019,5.0,4.03,1.04,52.6,0.35,
LV-EU,DE,agentur,pfefferminz,2020,4.25,4.3,1.36,51.8,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,DE,agentur,pfefferminz,2021,5.0,3.91,1.04,51.0,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,DE,agentur,pfefferminz,2022,5.0,4.22,1.04,50.2,0.35,
LV-EU,DE,agentur,pfefferminz,2023,5.0,4.5,1.36,49.4,0.35,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-EU,DE,agentur,pfefferminz,2024,5.0,4.11,1.04,48.6,0.35,
LV-EU,DE,agentur,pfefferminz,2025,5.0,5.47,1.04,47.8,0.35,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-EU,DE,makler,alle,2016,5.5,5.06,1.04,55.0,0.35,
LV-EU,DE,makler,alle,2017,5.5,5.06,1.04,54.2,0.35,
LV-EU,DE,makler,alle,2018,5.5,5.16,1.04,53.4,0.35,
LV-EU,DE,makler,alle,2019,5.5,5.21,1.04,52.6,0.35,
LV-EU,DE,makler,pfefferminz,2020,4.67,5.57,1.36,51.8,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,DE,makler,pfefferminz,2021,5.5,5.06,1.04,51.0,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,DE,makler,pfefferminz,2022,5.5,5.46,1.04,50.2,0.35,
LV-EU,DE,makler,pfefferminz,2023,5.5,5.82,1.36,49.4,0.35,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-EU,DE,makler,pfefferminz,2024,5.5,5.31,1.04,48.6,0.35,
LV-EU,DE,makler,pfefferminz,2025,5.5,7.08,1.04,47.8,0.35,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-EU,DE,direkt,alle,2016,7.0,6.21,1.21,55.0,0.35,
LV-EU,DE,direkt,alle,2017,7.0,6.21,1.21,54.2,0.35,
LV-EU,DE,direkt,alle,2018,7.0,6.33,1.21,53.4,0.35,
LV-EU,DE,direkt,alle,2019,7.0,6.4,1.21,52.6,0.35,
LV-EU,DE,direkt,pfefferminz,2020,5.95,6.83,1.57,51.8,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,DE,direkt,minzia,2020,10.71,8.2,1.57,43.8,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,DE,direkt,pfefferminz,2021,7.0,6.21,1.21,51.0,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,DE,direkt,minzia,2021,12.6,7.45,1.21,43.0,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,DE,direkt,pfefferminz,2022,7.0,6.71,1.21,50.2,0.35,
LV-EU,DE,direkt,minzia,2022,12.6,8.05,1.21,42.2,0.35,
LV-EU,DE,direkt,pfefferminz,2023,7.0,7.14,1.57,49.4,0.35,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-EU,DE,direkt,minzia,2023,12.6,8.57,1.57,41.4,0.35,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-EU,DE,direkt,pfefferminz,2024,7.0,6.52,1.21,48.6,0.35,
LV-EU,DE,direkt,minzia,2024,12.6,7.82,1.21,40.6,0.35,
LV-EU,DE,direkt,pfefferminz,2025,7.0,8.69,1.21,47.8,0.35,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
LV-EU,DE,direkt,minzia,2025,12.6,8.35,1.21,39.8,0.35,
LV-EU,DE,bank,alle,2016,4.0,4.37,1.1,55.0,0.35,
LV-EU,DE,bank,alle,2017,4.0,4.37,1.1,54.2,0.35,
LV-EU,DE,bank,alle,2018,4.0,4.46,1.1,53.4,0.35,
LV-EU,DE,bank,alle,2019,4.0,4.5,1.1,52.6,0.35,
LV-EU,DE,bank,pfefferminz,2020,3.4,4.81,1.43,51.8,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,DE,bank,pfefferminz,2021,4.0,4.37,1.1,51.0,0.4,"Pandemiejahre: Uebersterblichkeit, mehr Beitragsfreistellungen"
LV-EU,DE,bank,pfefferminz,2022,4.0,4.72,1.1,50.2,0.35,
LV-EU,DE,bank,pfefferminz,2023,4.0,5.03,1.43,49.4,0.35,Zinsanstieg: Rueckkaeufe zugunsten anderer Anlagen
LV-EU,DE,bank,pfefferminz,2024,4.0,4.59,1.1,48.6,0.35,
LV-EU,DE,bank,pfefferminz,2025,4.0,6.12,1.1,47.8,0.35,Fusionseffekt: Rueckkaufwelle nach Vertriebsumbau und Systemmigration Q4
