plz,ort,bundesland_kuerzel,bundesland,einwohner,gewicht,tarifzone,urbanitaet
69469,Weinheim,BW,Baden-Württemberg,45000,45,3,AGGLO
70173,Stuttgart,BW,Baden-Württemberg,150000,150,1,STADT
70199,Stuttgart,BW,Baden-Württemberg,100000,100,1,STADT
70435,Stuttgart,BW,Baden-Württemberg,90000,90,1,STADT
70565,Stuttgart,BW,Baden-Württemberg,90000,90,1,STADT
70619,Stuttgart,BW,Baden-Württemberg,70000,70,1,STADT
70806,Kornwestheim,BW,Baden-Württemberg,34000,34,3,AGGLO
71032,Böblingen,BW,Baden-Württemberg,50000,50,3,AGGLO
71063,Sindelfingen,BW,Baden-Württemberg,65000,65,3,AGGLO
71083,Herrenberg,BW,Baden-Württemberg,32000,32,3,AGGLO
71229,Leonberg,BW,Baden-Württemberg,49000,49,3,AGGLO
71332,Waiblingen,BW,Baden-Württemberg,56000,56,3,AGGLO
71364,Winnenden,BW,Baden-Württemberg,29000,29,3,AGGLO
71634,Ludwigsburg,BW,Baden-Württemberg,93000,93,3,AGGLO
71665,Vaihingen an der Enz,BW,Baden-Württemberg,30000,30,3,AGGLO
72070,Tübingen,BW,Baden-Württemberg,92000,92,3,AGGLO
72250,Freudenstadt,BW,Baden-Württemberg,24000,24,3,AGGLO
72336,Balingen,BW,Baden-Württemberg,35000,35,3,AGGLO
72379,Hechingen,BW,Baden-Württemberg,20000,20,3,AGGLO
72458,Albstadt,BW,Baden-Württemberg,45000,45,3,AGGLO
72488,Sigmaringen,BW,Baden-Württemberg,17000,17,3,AGGLO
72555,Metzingen,BW,Baden-Württemberg,23000,23,3,AGGLO
72622,Nürtingen,BW,Baden-Württemberg,42000,42,3,AGGLO
72764,Reutlingen,BW,Baden-Württemberg,117000,117,2,STADT
73033,Göppingen,BW,Baden-Württemberg,58000,58,3,AGGLO
73230,Kirchheim unter Teck,BW,Baden-Württemberg,41000,41,3,AGGLO
73312,Geislingen an der Steige,BW,Baden-Württemberg,28000,28,3,AGGLO
73430,Aalen,BW,Baden-Württemberg,68000,68,3,AGGLO
73525,Schwäbisch Gmünd,BW,Baden-Württemberg,61000,61,3,AGGLO
73728,Esslingen am Neckar,BW,Baden-Württemberg,93000,93,3,AGGLO
74072,Heilbronn,BW,Baden-Württemberg,127000,127,2,STADT
74172,Neckarsulm,BW,Baden-Württemberg,27000,27,3,AGGLO
74321,Bietigheim-Bissingen,BW,Baden-Württemberg,43000,43,3,AGGLO
74523,Schwäbisch Hall,BW,Baden-Württemberg,42000,42,3,AGGLO
74564,Crailsheim,BW,Baden-Württemberg,35000,35,3,AGGLO
74653,Künzelsau,BW,Baden-Württemberg,15000,15,3,AGGLO
74821,Mosbach,BW,Baden-Württemberg,23000,23,3,AGGLO
74889,Sinsheim,BW,Baden-Württemberg,36000,36,3,AGGLO
75015,Bretten,BW,Baden-Württemberg,30000,30,3,AGGLO
75172,Pforzheim,BW,Baden-Württemberg,126000,126,2,STADT
75365,Calw,BW,Baden-Württemberg,24000,24,3,AGGLO
76133,Karlsruhe,BW,Baden-Württemberg,310000,310,2,STADT
76275,Ettlingen,BW,Baden-Württemberg,39000,39,3,AGGLO
76437,Rastatt,BW,Baden-Württemberg,50000,50,3,AGGLO
76530,Baden-Baden,BW,Baden-Württemberg,56000,56,3,AGGLO
76646,Bruchsal,BW,Baden-Württemberg,46000,46,3,AGGLO
76829,Landau in der Pfalz,RP,Rheinland-Pfalz,47000,47,3,AGGLO
77652,Offenburg,BW,Baden-Württemberg,61000,61,3,AGGLO
77694,Kehl,BW,Baden-Württemberg,37000,37,3,AGGLO
77855,Achern,BW,Baden-Württemberg,26000,26,3,AGGLO
77933,Lahr,BW,Baden-Württemberg,48000,48,3,AGGLO
78050,Villingen-Schwenningen,BW,Baden-Württemberg,86000,86,3,AGGLO
78224,Singen,BW,Baden-Württemberg,48000,48,3,AGGLO
78462,Konstanz,BW,Baden-Württemberg,86000,86,3,AGGLO
78532,Tuttlingen,BW,Baden-Württemberg,37000,37,3,AGGLO
78628,Rottweil,BW,Baden-Württemberg,26000,26,3,AGGLO
79098,Freiburg im Breisgau,BW,Baden-Württemberg,232000,232,2,STADT
79539,Lörrach,BW,Baden-Württemberg,50000,50,3,AGGLO
79618,Rheinfelden (Baden),BW,Baden-Württemberg,33000,33,3,AGGLO
79713,Bad Säckingen,BW,Baden-Württemberg,18000,18,3,AGGLO
79761,Waldshut-Tiengen,BW,Baden-Württemberg,25000,25,3,AGGLO
80331,München,BY,Bayern,150000,150,1,STADT
80636,München,BY,Bayern,120000,120,1,STADT
80797,München,BY,Bayern,120000,120,1,STADT
81241,München,BY,Bayern,100000,100,1,STADT
81371,München,BY,Bayern,110000,110,1,STADT
81541,München,BY,Bayern,100000,100,1,STADT
81673,München,BY,Bayern,90000,90,1,STADT
81925,München,BY,Bayern,80000,80,1,STADT
82031,Grünwald,BY,Bayern,11000,11,3,AGGLO
82152,Planegg,BY,Bayern,11000,11,3,AGGLO
82256,Fürstenfeldbruck,BY,Bayern,38000,38,3,AGGLO
82319,Starnberg,BY,Bayern,23000,23,3,AGGLO
82362,Weilheim in Oberbayern,BY,Bayern,23000,23,3,AGGLO
82467,Garmisch-Partenkirchen,BY,Bayern,27000,27,3,AGGLO
83022,Rosenheim,BY,Bayern,64000,64,3,AGGLO
83278,Traunstein,BY,Bayern,21000,21,3,AGGLO
83395,Freilassing,BY,Bayern,17000,17,3,AGGLO
83646,Bad Tölz,BY,Bayern,19000,19,3,AGGLO
84028,Landshut,BY,Bayern,74000,74,3,AGGLO
84453,Mühldorf am Inn,BY,Bayern,21000,21,3,AGGLO
84503,Altötting,BY,Bayern,13000,13,3,AGGLO
85049,Ingolstadt,BY,Bayern,139000,139,2,STADT
85221,Dachau,BY,Bayern,48000,48,3,AGGLO
85276,Pfaffenhofen an der Ilm,BY,Bayern,26000,26,3,AGGLO
85356,Freising,BY,Bayern,49000,49,3,AGGLO
85435,Erding,BY,Bayern,37000,37,3,AGGLO
85521,Ottobrunn,BY,Bayern,22000,22,3,AGGLO
85737,Ismaning,BY,Bayern,18000,18,3,AGGLO
86150,Augsburg,BY,Bayern,300000,300,2,STADT
86551,Aichach,BY,Bayern,21000,21,3,AGGLO
86720,Nördlingen,BY,Bayern,21000,21,3,AGGLO
86899,Landsberg am Lech,BY,Bayern,29000,29,3,AGGLO
87435,Kempten (Allgäu),BY,Bayern,70000,70,3,AGGLO
87600,Kaufbeuren,BY,Bayern,45000,45,3,AGGLO
87700,Memmingen,BY,Bayern,44000,44,3,AGGLO
88045,Friedrichshafen,BW,Baden-Württemberg,62000,62,3,AGGLO
88131,Lindau (Bodensee),BY,Bayern,26000,26,3,AGGLO
88212,Ravensburg,BW,Baden-Württemberg,51000,51,3,AGGLO
88400,Biberach an der Riss,BW,Baden-Württemberg,34000,34,3,AGGLO
88662,Überlingen,BW,Baden-Württemberg,23000,23,3,AGGLO
89073,Ulm,BW,Baden-Württemberg,128000,128,2,STADT
89231,Neu-Ulm,BY,Bayern,60000,60,3,AGGLO
89518,Heidenheim,BW,Baden-Württemberg,50000,50,3,AGGLO
90402,Nürnberg,BY,Bayern,520000,520,2,STADT
90762,Fürth,BY,Bayern,130000,130,2,STADT
91052,Erlangen,BY,Bayern,115000,115,2,STADT
91126,Schwabach,BY,Bayern,41000,41,3,AGGLO
91522,Ansbach,BY,Bayern,42000,42,3,AGGLO
92224,Amberg,BY,Bayern,42000,42,3,AGGLO
92637,Weiden in der Oberpfalz,BY,Bayern,43000,43,3,AGGLO
93047,Regensburg,BY,Bayern,155000,155,2,STADT
94032,Passau,BY,Bayern,53000,53,3,AGGLO
94315,Straubing,BY,Bayern,48000,48,3,AGGLO
94469,Deggendorf,BY,Bayern,34000,34,3,AGGLO
95028,Hof,BY,Bayern,46000,46,3,AGGLO
95444,Bayreuth,BY,Bayern,75000,75,3,AGGLO
96047,Bamberg,BY,Bayern,78000,78,3,AGGLO
96450,Coburg,BY,Bayern,41000,41,3,AGGLO
96515,Sonneberg,TH,Thüringen,23000,23,3,AGGLO
97070,Würzburg,BY,Bayern,128000,128,2,STADT
97421,Schweinfurt,BY,Bayern,54000,54,3,AGGLO
98527,Suhl,TH,Thüringen,36000,36,3,AGGLO
98544,Zella-Mehlis,TH,Thüringen,12000,12,3,AGGLO
98574,Schmalkalden,TH,Thüringen,20000,20,3,AGGLO
98617,Meiningen,TH,Thüringen,25000,25,3,AGGLO
98693,Ilmenau,TH,Thüringen,38000,38,3,AGGLO
99084,Erfurt,TH,Thüringen,130000,130,2,STADT
99089,Erfurt,TH,Thüringen,80000,80,2,STADT
99310,Arnstadt,TH,Thüringen,27000,27,3,AGGLO
99423,Weimar,TH,Thüringen,65000,65,3,AGGLO
99510,Apolda,TH,Thüringen,22000,22,3,AGGLO
99610,Sömmerda,TH,Thüringen,19000,19,3,AGGLO
99706,Sondershausen,TH,Thüringen,21000,21,3,AGGLO
99734,Nordhausen,TH,Thüringen,41000,41,3,AGGLO
99817,Eisenach,TH,Thüringen,42000,42,3,AGGLO
99867,Gotha,TH,Thüringen,45000,45,3,AGGLO
99947,Bad Langensalza,TH,Thüringen,17000,17,3,AGGLO
