strasse,sprache,typ,generisch
Südhof,de-CH,Hof,false
Südring,de-CH,Ring,false
Südsteig,de-CH,Steig,false
Oststrasse,de-CH,Strasse,false
Ostweg,de-CH,Weg,false
Ostgasse,de-CH,Gasse,false
Ostplatz,de-CH,Platz,false
Ostrain,de-CH,Rain,false
Osthalde,de-CH,Halde,false
Ostmatte,de-CH,Matte,false
Ostacker,de-CH,Acker,false
Osthof,de-CH,Hof,false
Ostring,de-CH,Ring,false
Oststeig,de-CH,Steig,false
Weststrasse,de-CH,Strasse,false
Westweg,de-CH,Weg,false
Westgasse,de-CH,Gasse,false
Westplatz,de-CH,Platz,false
Westrain,de-CH,Rain,false
Westhalde,de-CH,Halde,false
Westmatte,de-CH,Matte,false
Westacker,de-CH,Acker,false
Westhof,de-CH,Hof,false
Westring,de-CH,Ring,false
Weststeig,de-CH,Steig,false
Kirchstrasse,de-CH,Strasse,false
Kirchweg,de-CH,Weg,false
Kirchgasse,de-CH,Gasse,true
Kirchplatz,de-CH,Platz,false
Kirchrain,de-CH,Rain,false
Kirchhalde,de-CH,Halde,false
Kirchmatte,de-CH,Matte,false
Kirchacker,de-CH,Acker,false
Kirchhof,de-CH,Hof,false
Kirchring,de-CH,Ring,false
Kirchsteig,de-CH,Steig,false
Kapellenstrasse,de-CH,Strasse,false
Kapellenweg,de-CH,Weg,false
Kapellengasse,de-CH,Gasse,false
Kapellenplatz,de-CH,Platz,false
Kapellenrain,de-CH,Rain,false
Kapellenhalde,de-CH,Halde,false
Kapellenmatte,de-CH,Matte,false
Kapellenacker,de-CH,Acker,false
Kapellenhof,de-CH,Hof,false
Kapellenring,de-CH,Ring,false
Kapellensteig,de-CH,Steig,false
Klosterstrasse,de-CH,Strasse,false
Klosterweg,de-CH,Weg,false
Klostergasse,de-CH,Gasse,false
Klosterplatz,de-CH,Platz,false
Klosterrain,de-CH,Rain,false
Klosterhalde,de-CH,Halde,false
Klostermatte,de-CH,Matte,false
Klosteracker,de-CH,Acker,false
Klosterhof,de-CH,Hof,false
Klosterring,de-CH,Ring,false
Klostersteig,de-CH,Steig,false
Schulstrasse,de-CH,Strasse,true
Schulweg,de-CH,Weg,false
Schulgasse,de-CH,Gasse,false
Schulplatz,de-CH,Platz,false
Schulrain,de-CH,Rain,false
Schulhalde,de-CH,Halde,false
Schulmatte,de-CH,Matte,false
Schulacker,de-CH,Acker,false
Schulhof,de-CH,Hof,false
Schulring,de-CH,Ring,false
Schulsteig,de-CH,Steig,false
Bahnstrasse,de-CH,Strasse,false
Bahnweg,de-CH,Weg,false
Bahngasse,de-CH,Gasse,false
Bahnplatz,de-CH,Platz,false
Bahnrain,de-CH,Rain,false
Bahnhalde,de-CH,Halde,false
Bahnmatte,de-CH,Matte,false
Bahnacker,de-CH,Acker,false
Bahnhof,de-CH,Hof,false
Bahnring,de-CH,Ring,false
Bahnsteig,de-CH,Steig,false
Poststrasse,de-CH,Strasse,false
Postweg,de-CH,Weg,false
Postgasse,de-CH,Gasse,false
Postplatz,de-CH,Platz,false
Postrain,de-CH,Rain,false
Posthalde,de-CH,Halde,false
Postmatte,de-CH,Matte,false
Postacker,de-CH,Acker,false
Posthof,de-CH,Hof,false
Postring,de-CH,Ring,false
Poststeig,de-CH,Steig,false
Marktstrasse,de-CH,Strasse,false
Marktweg,de-CH,Weg,false
Marktgasse,de-CH,Gasse,false
Marktplatz,de-CH,Platz,false
Marktrain,de-CH,Rain,false
Markthalde,de-CH,Halde,false
Marktmatte,de-CH,Matte,false
Marktacker,de-CH,Acker,false
Markthof,de-CH,Hof,false
Marktring,de-CH,Ring,false
Marktsteig,de-CH,Steig,false
Rathausstrasse,de-CH,Strasse,false
Rathausweg,de-CH,Weg,false
Rathausgasse,de-CH,Gasse,false
Rathausplatz,de-CH,Platz,false
Rathausrain,de-CH,Rain,false
Rathaushalde,de-CH,Halde,false
Rathausmatte,de-CH,Matte,false
Rathausacker,de-CH,Acker,false
Rathaushof,de-CH,Hof,false
Rathausring,de-CH,Ring,false
Rathaussteig,de-CH,Steig,false
Zunftstrasse,de-CH,Strasse,false
Zunftweg,de-CH,Weg,false
Zunftgasse,de-CH,Gasse,false
Zunftplatz,de-CH,Platz,false
Zunftrain,de-CH,Rain,false
Zunfthalde,de-CH,Halde,false
Zunftmatte,de-CH,Matte,false
Zunftacker,de-CH,Acker,false
Zunfthof,de-CH,Hof,false
Zunftring,de-CH,Ring,false
Zunftsteig,de-CH,Steig,false
Schmiedestrasse,de-CH,Strasse,false
Schmiedeweg,de-CH,Weg,false
Schmiedegasse,de-CH,Gasse,false
Schmiedeplatz,de-CH,Platz,false
Schmiederain,de-CH,Rain,false
Schmiedehalde,de-CH,Halde,false
Schmiedematte,de-CH,Matte,false
Schmiedeacker,de-CH,Acker,false
Schmiedehof,de-CH,Hof,false
Schmiedering,de-CH,Ring,false
Schmiedesteig,de-CH,Steig,false
Weberstrasse,de-CH,Strasse,false
Weberweg,de-CH,Weg,false
Webergasse,de-CH,Gasse,false
Weberplatz,de-CH,Platz,false
Weberrain,de-CH,Rain,false
Weberhalde,de-CH,Halde,false
Webermatte,de-CH,Matte,false
Weberacker,de-CH,Acker,false
Weberhof,de-CH,Hof,false
Weberring,de-CH,Ring,false
Webersteig,de-CH,Steig,false
Müllerstrasse,de-CH,Strasse,false
Müllerweg,de-CH,Weg,false
Müllergasse,de-CH,Gasse,false
Müllerplatz,de-CH,Platz,false
Müllerrain,de-CH,Rain,false
Müllerhalde,de-CH,Halde,false
Müllermatte,de-CH,Matte,false
Mülleracker,de-CH,Acker,false
Müllerhof,de-CH,Hof,false
Müllerring,de-CH,Ring,false
Müllersteig,de-CH,Steig,false
Gerberstrasse,de-CH,Strasse,false
Gerberweg,de-CH,Weg,false
Gerbergasse,de-CH,Gasse,false
Gerberplatz,de-CH,Platz,false
Gerberrain,de-CH,Rain,false
Gerberhalde,de-CH,Halde,false
Gerbermatte,de-CH,Matte,false
Gerberacker,de-CH,Acker,false
Gerberhof,de-CH,Hof,false
Gerberring,de-CH,Ring,false
Gerbersteig,de-CH,Steig,false
Färberstrasse,de-CH,Strasse,false
Färberweg,de-CH,Weg,false
Färbergasse,de-CH,Gasse,false
Färberplatz,de-CH,Platz,false
Färberrain,de-CH,Rain,false
Färberhalde,de-CH,Halde,false
Färbermatte,de-CH,Matte,false
Färberacker,de-CH,Acker,false
Färberhof,de-CH,Hof,false
Färberring,de-CH,Ring,false
Färbersteig,de-CH,Steig,false
Bäckerstrasse,de-CH,Strasse,false
Bäckerweg,de-CH,Weg,false
Bäckergasse,de-CH,Gasse,false
Bäckerplatz,de-CH,Platz,false
Bäckerrain,de-CH,Rain,false
Bäckerhalde,de-CH,Halde,false
Bäckermatte,de-CH,Matte,false
Bäckeracker,de-CH,Acker,false
Bäckerhof,de-CH,Hof,false
Bäckerring,de-CH,Ring,false
Bäckersteig,de-CH,Steig,false
Metzgerstrasse,de-CH,Strasse,false
Metzgerweg,de-CH,Weg,false
Metzgergasse,de-CH,Gasse,false
Metzgerplatz,de-CH,Platz,false
Metzgerrain,de-CH,Rain,false
Metzgerhalde,de-CH,Halde,false
Metzgermatte,de-CH,Matte,false
Metzgeracker,de-CH,Acker,false
Metzgerhof,de-CH,Hof,false
Metzgerring,de-CH,Ring,false
Metzgersteig,de-CH,Steig,false
Sattlerstrasse,de-CH,Strasse,false
Sattlerweg,de-CH,Weg,false
Sattlergasse,de-CH,Gasse,false
Sattlerplatz,de-CH,Platz,false
Sattlerrain,de-CH,Rain,false
Sattlerhalde,de-CH,Halde,false
Sattlermatte,de-CH,Matte,false
Sattleracker,de-CH,Acker,false
Sattlerhof,de-CH,Hof,false
Sattlerring,de-CH,Ring,false
Sattlersteig,de-CH,Steig,false
Wagnerstrasse,de-CH,Strasse,false
Wagnerweg,de-CH,Weg,false
Wagnergasse,de-CH,Gasse,false
Wagnerplatz,de-CH,Platz,false
Wagnerrain,de-CH,Rain,false
Wagnerhalde,de-CH,Halde,false
Wagnermatte,de-CH,Matte,false
Wagneracker,de-CH,Acker,false
Wagnerhof,de-CH,Hof,false
Wagnerring,de-CH,Ring,false
Wagnersteig,de-CH,Steig,false
Ziegelstrasse,de-CH,Strasse,false
Ziegelweg,de-CH,Weg,false
Ziegelgasse,de-CH,Gasse,false
Ziegelplatz,de-CH,Platz,false
Ziegelrain,de-CH,Rain,false
Ziegelhalde,de-CH,Halde,false
Ziegelmatte,de-CH,Matte,false
Ziegelacker,de-CH,Acker,false
Ziegelhof,de-CH,Hof,false
Ziegelring,de-CH,Ring,false
Ziegelsteig,de-CH,Steig,false
Kalkstrasse,de-CH,Strasse,false
Kalkweg,de-CH,Weg,false
Kalkgasse,de-CH,Gasse,false
Kalkplatz,de-CH,Platz,false
Kalkrain,de-CH,Rain,false
Kalkhalde,de-CH,Halde,false
Kalkmatte,de-CH,Matte,false
Kalkacker,de-CH,Acker,false
Kalkhof,de-CH,Hof,false
Kalkring,de-CH,Ring,false
Kalksteig,de-CH,Steig,false
Salzstrasse,de-CH,Strasse,false
Salzweg,de-CH,Weg,false
Salzgasse,de-CH,Gasse,false
Salzplatz,de-CH,Platz,false
Salzrain,de-CH,Rain,false
Salzhalde,de-CH,Halde,false
Salzmatte,de-CH,Matte,false
Salzacker,de-CH,Acker,false
Salzhof,de-CH,Hof,false
Salzring,de-CH,Ring,false
Salzsteig,de-CH,Steig,false
Eisenstrasse,de-CH,Strasse,false
Eisenweg,de-CH,Weg,false
Eisengasse,de-CH,Gasse,false
Eisenplatz,de-CH,Platz,false
Eisenrain,de-CH,Rain,false
Eisenhalde,de-CH,Halde,false
Eisenmatte,de-CH,Matte,false
Eisenacker,de-CH,Acker,false
Eisenhof,de-CH,Hof,false
Eisenring,de-CH,Ring,false
Eisensteig,de-CH,Steig,false
Kupferstrasse,de-CH,Strasse,false
Kupferweg,de-CH,Weg,false
Kupfergasse,de-CH,Gasse,false
Kupferplatz,de-CH,Platz,false
Kupferrain,de-CH,Rain,false
Kupferhalde,de-CH,Halde,false
Kupfermatte,de-CH,Matte,false
Kupferacker,de-CH,Acker,false
Kupferhof,de-CH,Hof,false
Kupferring,de-CH,Ring,false
Kupfersteig,de-CH,Steig,false
Silberstrasse,de-CH,Strasse,false
Silberweg,de-CH,Weg,false
Silbergasse,de-CH,Gasse,false
Silberplatz,de-CH,Platz,false
Silberrain,de-CH,Rain,false
Silberhalde,de-CH,Halde,false
Silbermatte,de-CH,Matte,false
Silberacker,de-CH,Acker,false
Silberhof,de-CH,Hof,false
Silberring,de-CH,Ring,false
Silbersteig,de-CH,Steig,false
Goldstrasse,de-CH,Strasse,false
Goldweg,de-CH,Weg,false
Goldgasse,de-CH,Gasse,false
Goldplatz,de-CH,Platz,false
Goldrain,de-CH,Rain,false
Goldhalde,de-CH,Halde,false
Goldmatte,de-CH,Matte,false
Goldacker,de-CH,Acker,false
Goldhof,de-CH,Hof,false
Goldring,de-CH,Ring,false
Goldsteig,de-CH,Steig,false
Bärenstrasse,de-CH,Strasse,false
Bärenweg,de-CH,Weg,false
Bärengasse,de-CH,Gasse,false
Bärenplatz,de-CH,Platz,false
Bärenrain,de-CH,Rain,false
Bärenhalde,de-CH,Halde,false
Bärenmatte,de-CH,Matte,false
Bärenacker,de-CH,Acker,false
Bärenhof,de-CH,Hof,false
Bärenring,de-CH,Ring,false
Bärensteig,de-CH,Steig,false
Hirschstrasse,de-CH,Strasse,false
Hirschweg,de-CH,Weg,false
Hirschgasse,de-CH,Gasse,false
Hirschplatz,de-CH,Platz,false
Hirschrain,de-CH,Rain,false
Hirschhalde,de-CH,Halde,false
Hirschmatte,de-CH,Matte,false
Hirschacker,de-CH,Acker,false
Hirschhof,de-CH,Hof,false
Hirschring,de-CH,Ring,false
Hirschsteig,de-CH,Steig,false
Rehstrasse,de-CH,Strasse,false
Rehweg,de-CH,Weg,false
Rehgasse,de-CH,Gasse,false
Rehplatz,de-CH,Platz,false
Rehrain,de-CH,Rain,false
Rehhalde,de-CH,Halde,false
Rehmatte,de-CH,Matte,false
Rehacker,de-CH,Acker,false
Rehhof,de-CH,Hof,false
Rehring,de-CH,Ring,false
Rehsteig,de-CH,Steig,false
Fuchsstrasse,de-CH,Strasse,false
Fuchsweg,de-CH,Weg,false
Fuchsgasse,de-CH,Gasse,false
Fuchsplatz,de-CH,Platz,false
Fuchsrain,de-CH,Rain,false
Fuchshalde,de-CH,Halde,false
Fuchsmatte,de-CH,Matte,false
Fuchsacker,de-CH,Acker,false
Fuchshof,de-CH,Hof,false
Fuchsring,de-CH,Ring,false
Fuchssteig,de-CH,Steig,false
Hasenstrasse,de-CH,Strasse,false
Hasenweg,de-CH,Weg,false
Hasengasse,de-CH,Gasse,false
Hasenplatz,de-CH,Platz,false
Hasenrain,de-CH,Rain,false
Hasenhalde,de-CH,Halde,false
Hasenmatte,de-CH,Matte,false
Hasenacker,de-CH,Acker,false
Hasenhof,de-CH,Hof,false
Hasenring,de-CH,Ring,false
Hasensteig,de-CH,Steig,false
Adlerstrasse,de-CH,Strasse,false
Adlerweg,de-CH,Weg,false
Adlergasse,de-CH,Gasse,false
Adlerplatz,de-CH,Platz,false
Adlerrain,de-CH,Rain,false
Adlerhalde,de-CH,Halde,false
Adlermatte,de-CH,Matte,false
Adleracker,de-CH,Acker,false
Adlerhof,de-CH,Hof,false
Adlerring,de-CH,Ring,false
Adlersteig,de-CH,Steig,false
Falkenstrasse,de-CH,Strasse,false
Falkenweg,de-CH,Weg,false
Falkengasse,de-CH,Gasse,false
Falkenplatz,de-CH,Platz,false
Falkenrain,de-CH,Rain,false
Falkenhalde,de-CH,Halde,false
Falkenmatte,de-CH,Matte,false
Falkenacker,de-CH,Acker,false
Falkenhof,de-CH,Hof,false
Falkenring,de-CH,Ring,false
Falkensteig,de-CH,Steig,false
Lerchenstrasse,de-CH,Strasse,false
Lerchenweg,de-CH,Weg,false
Lerchengasse,de-CH,Gasse,false
Lerchenplatz,de-CH,Platz,false
Lerchenrain,de-CH,Rain,false
Lerchenhalde,de-CH,Halde,false
Lerchenmatte,de-CH,Matte,false
Lerchenacker,de-CH,Acker,false
Lerchenhof,de-CH,Hof,false
Lerchenring,de-CH,Ring,false
Lerchensteig,de-CH,Steig,false
Amselstrasse,de-CH,Strasse,false
Amselweg,de-CH,Weg,false
Amselgasse,de-CH,Gasse,false
Amselplatz,de-CH,Platz,false
Amselrain,de-CH,Rain,false
Amselhalde,de-CH,Halde,false
Amselmatte,de-CH,Matte,false
Amselacker,de-CH,Acker,false
Amselhof,de-CH,Hof,false
Amselring,de-CH,Ring,false
Amselsteig,de-CH,Steig,false
Drosselstrasse,de-CH,Strasse,false
Drosselweg,de-CH,Weg,false
Drosselgasse,de-CH,Gasse,false
Drosselplatz,de-CH,Platz,false
Drosselrain,de-CH,Rain,false
Drosselhalde,de-CH,Halde,false
Drosselmatte,de-CH,Matte,false
Drosselacker,de-CH,Acker,false
Drosselhof,de-CH,Hof,false
Drosselring,de-CH,Ring,false
Drosselsteig,de-CH,Steig,false
Finkenstrasse,de-CH,Strasse,false
Finkenweg,de-CH,Weg,false
Finkengasse,de-CH,Gasse,false
Finkenplatz,de-CH,Platz,false
Finkenrain,de-CH,Rain,false
Finkenhalde,de-CH,Halde,false
Finkenmatte,de-CH,Matte,false
Finkenacker,de-CH,Acker,false
Finkenhof,de-CH,Hof,false
Finkenring,de-CH,Ring,false
Finkensteig,de-CH,Steig,false
Meisenstrasse,de-CH,Strasse,false
Meisenweg,de-CH,Weg,false
Meisengasse,de-CH,Gasse,false
Meisenplatz,de-CH,Platz,false
Meisenrain,de-CH,Rain,false
Meisenhalde,de-CH,Halde,false
Meisenmatte,de-CH,Matte,false
Meisenacker,de-CH,Acker,false
Meisenhof,de-CH,Hof,false
Meisenring,de-CH,Ring,false
Meisensteig,de-CH,Steig,false
Schwalbenstrasse,de-CH,Strasse,false
Schwalbenweg,de-CH,Weg,false
Schwalbengasse,de-CH,Gasse,false
Schwalbenplatz,de-CH,Platz,false
Schwalbenrain,de-CH,Rain,false
Schwalbenhalde,de-CH,Halde,false
Schwalbenmatte,de-CH,Matte,false
Schwalbenacker,de-CH,Acker,false
Schwalbenhof,de-CH,Hof,false
Schwalbenring,de-CH,Ring,false
Schwalbensteig,de-CH,Steig,false
Storchenstrasse,de-CH,Strasse,false
Storchenweg,de-CH,Weg,false
Storchengasse,de-CH,Gasse,false
Storchenplatz,de-CH,Platz,false
Storchenrain,de-CH,Rain,false
Storchenhalde,de-CH,Halde,false
Storchenmatte,de-CH,Matte,false
Storchenacker,de-CH,Acker,false
Storchenhof,de-CH,Hof,false
Storchenring,de-CH,Ring,false
Storchensteig,de-CH,Steig,false
Reiherstrasse,de-CH,Strasse,false
Reiherweg,de-CH,Weg,false
Reihergasse,de-CH,Gasse,false
Reiherplatz,de-CH,Platz,false
Reiherrain,de-CH,Rain,false
Reiherhalde,de-CH,Halde,false
Reihermatte,de-CH,Matte,false
Reiheracker,de-CH,Acker,false
Reiherhof,de-CH,Hof,false
Reiherring,de-CH,Ring,false
Reihersteig,de-CH,Steig,false
Schwanenstrasse,de-CH,Strasse,false
Schwanenweg,de-CH,Weg,false
Schwanengasse,de-CH,Gasse,false
Schwanenplatz,de-CH,Platz,false
Schwanenrain,de-CH,Rain,false
Schwanenhalde,de-CH,Halde,false
Schwanenmatte,de-CH,Matte,false
Schwanenacker,de-CH,Acker,false
Schwanenhof,de-CH,Hof,false
Schwanenring,de-CH,Ring,false
Schwanensteig,de-CH,Steig,false
Entenstrasse,de-CH,Strasse,false
Entenweg,de-CH,Weg,false
Entengasse,de-CH,Gasse,false
Entenplatz,de-CH,Platz,false
Entenrain,de-CH,Rain,false
Entenhalde,de-CH,Halde,false
Entenmatte,de-CH,Matte,false
Entenacker,de-CH,Acker,false
Entenhof,de-CH,Hof,false
Entenring,de-CH,Ring,false
Entensteig,de-CH,Steig,false
Forellenstrasse,de-CH,Strasse,false
Forellenweg,de-CH,Weg,false
Forellengasse,de-CH,Gasse,false
Forellenplatz,de-CH,Platz,false
Forellenrain,de-CH,Rain,false
Forellenhalde,de-CH,Halde,false
Forellenmatte,de-CH,Matte,false
Forellenacker,de-CH,Acker,false
Forellenhof,de-CH,Hof,false
Forellenring,de-CH,Ring,false
Forellensteig,de-CH,Steig,false
Hechtstrasse,de-CH,Strasse,false
Hechtweg,de-CH,Weg,false
Hechtgasse,de-CH,Gasse,false
Hechtplatz,de-CH,Platz,false
Hechtrain,de-CH,Rain,false
Hechthalde,de-CH,Halde,false
Hechtmatte,de-CH,Matte,false
Hechtacker,de-CH,Acker,false
Hechthof,de-CH,Hof,false
Hechtring,de-CH,Ring,false
Hechtsteig,de-CH,Steig,false
Bienenstrasse,de-CH,Strasse,false
Bienenweg,de-CH,Weg,false
Bienengasse,de-CH,Gasse,false
Bienenplatz,de-CH,Platz,false
Bienenrain,de-CH,Rain,false
Bienenhalde,de-CH,Halde,false
Bienenmatte,de-CH,Matte,false
Bienenacker,de-CH,Acker,false
Bienenhof,de-CH,Hof,false
Bienenring,de-CH,Ring,false
Bienensteig,de-CH,Steig,false
Schmetterlingsstrasse,de-CH,Strasse,false
Schmetterlingsweg,de-CH,Weg,false
Schmetterlingsgasse,de-CH,Gasse,false
Schmetterlingsplatz,de-CH,Platz,false
Schmetterlingsrain,de-CH,Rain,false
Schmetterlingshalde,de-CH,Halde,false
Schmetterlingsmatte,de-CH,Matte,false
Schmetterlingsacker,de-CH,Acker,false
Schmetterlingshof,de-CH,Hof,false
Schmetterlingsring,de-CH,Ring,false
Schmetterlingssteig,de-CH,Steig,false
Rebstockstrasse,de-CH,Strasse,false
Rebstockweg,de-CH,Weg,false
Rebstockgasse,de-CH,Gasse,false
Rebstockplatz,de-CH,Platz,false
Rebstockrain,de-CH,Rain,false
Rebstockhalde,de-CH,Halde,false
Rebstockmatte,de-CH,Matte,false
Rebstockacker,de-CH,Acker,false
Rebstockhof,de-CH,Hof,false
Rebstockring,de-CH,Ring,false
Rebstocksteig,de-CH,Steig,false
Rebenstrasse,de-CH,Strasse,false
Rebenweg,de-CH,Weg,false
Rebengasse,de-CH,Gasse,false
Rebenplatz,de-CH,Platz,false
Rebenrain,de-CH,Rain,false
Rebenhalde,de-CH,Halde,false
Rebenmatte,de-CH,Matte,false
Rebenacker,de-CH,Acker,false
Rebenhof,de-CH,Hof,false
Rebenring,de-CH,Ring,false
Rebensteig,de-CH,Steig,false
Traubenstrasse,de-CH,Strasse,false
Traubenweg,de-CH,Weg,false
Traubengasse,de-CH,Gasse,false
Traubenplatz,de-CH,Platz,false
Traubenrain,de-CH,Rain,false
Traubenhalde,de-CH,Halde,false
Traubenmatte,de-CH,Matte,false
Traubenacker,de-CH,Acker,false
Traubenhof,de-CH,Hof,false
Traubenring,de-CH,Ring,false
Traubensteig,de-CH,Steig,false
Hopfenstrasse,de-CH,Strasse,false
Hopfenweg,de-CH,Weg,false
Hopfengasse,de-CH,Gasse,false
Hopfenplatz,de-CH,Platz,false
Hopfenrain,de-CH,Rain,false
Hopfenhalde,de-CH,Halde,false
Hopfenmatte,de-CH,Matte,false
Hopfenacker,de-CH,Acker,false
Hopfenhof,de-CH,Hof,false
Hopfenring,de-CH,Ring,false
Hopfensteig,de-CH,Steig,false
Kornstrasse,de-CH,Strasse,false
Kornweg,de-CH,Weg,false
Korngasse,de-CH,Gasse,false
Kornplatz,de-CH,Platz,false
Kornrain,de-CH,Rain,false
Kornhalde,de-CH,Halde,false
Kornmatte,de-CH,Matte,false
Kornacker,de-CH,Acker,false
Kornhof,de-CH,Hof,false
Kornring,de-CH,Ring,false
Kornsteig,de-CH,Steig,false
Roggenstrasse,de-CH,Strasse,false
Roggenweg,de-CH,Weg,false
Roggengasse,de-CH,Gasse,false
Roggenplatz,de-CH,Platz,false
Roggenrain,de-CH,Rain,false
Roggenhalde,de-CH,Halde,false
Roggenmatte,de-CH,Matte,false
Roggenacker,de-CH,Acker,false
Roggenhof,de-CH,Hof,false
Roggenring,de-CH,Ring,false
Roggensteig,de-CH,Steig,false
Haferstrasse,de-CH,Strasse,false
Haferweg,de-CH,Weg,false
Hafergasse,de-CH,Gasse,false
Haferplatz,de-CH,Platz,false
Haferrain,de-CH,Rain,false
Haferhalde,de-CH,Halde,false
Hafermatte,de-CH,Matte,false
Haferacker,de-CH,Acker,false
Haferhof,de-CH,Hof,false
Haferring,de-CH,Ring,false
Hafersteig,de-CH,Steig,false
Gerstenstrasse,de-CH,Strasse,false
Gerstenweg,de-CH,Weg,false
Gerstengasse,de-CH,Gasse,false
Gerstenplatz,de-CH,Platz,false
Gerstenrain,de-CH,Rain,false
Gerstenhalde,de-CH,Halde,false
Gerstenmatte,de-CH,Matte,false
Gerstenacker,de-CH,Acker,false
Gerstenhof,de-CH,Hof,false
Gerstenring,de-CH,Ring,false
Gerstensteig,de-CH,Steig,false
Flachsstrasse,de-CH,Strasse,false
Flachsweg,de-CH,Weg,false
Flachsgasse,de-CH,Gasse,false
Flachsplatz,de-CH,Platz,false
Flachsrain,de-CH,Rain,false
Flachshalde,de-CH,Halde,false
Flachsmatte,de-CH,Matte,false
Flachsacker,de-CH,Acker,false
Flachshof,de-CH,Hof,false
Flachsring,de-CH,Ring,false
Flachssteig,de-CH,Steig,false
Ahornstraße,de-DE,Straße,false
Ahornweg,de-DE,Weg,false
Ahorngasse,de-DE,Gasse,false
Ahornplatz,de-DE,Platz,false
Ahornallee,de-DE,Allee,false
Ahornring,de-DE,Ring,false
Ahorndamm,de-DE,Damm,false
Ahornsteig,de-DE,Steig,false
Ahornpfad,de-DE,Pfad,false
Ahornhof,de-DE,Hof,false
Ahornkamp,de-DE,Kamp,false
Birkenstraße,de-DE,Straße,false
Birkenweg,de-DE,Weg,false
Birkengasse,de-DE,Gasse,false
Birkenplatz,de-DE,Platz,false
Birkenallee,de-DE,Allee,false
Birkenring,de-DE,Ring,false
Birkendamm,de-DE,Damm,false
Birkensteig,de-DE,Steig,false
Birkenpfad,de-DE,Pfad,false
Birkenhof,de-DE,Hof,false
Birkenkamp,de-DE,Kamp,false
Lindenstraße,de-DE,Straße,false
Lindenweg,de-DE,Weg,false
Lindengasse,de-DE,Gasse,false
Lindenplatz,de-DE,Platz,false
Lindenallee,de-DE,Allee,false
Lindenring,de-DE,Ring,false
Lindendamm,de-DE,Damm,false
Lindensteig,de-DE,Steig,false
Lindenpfad,de-DE,Pfad,false
Lindenhof,de-DE,Hof,false
Lindenkamp,de-DE,Kamp,false
Rosenstraße,de-DE,Straße,false
Rosenweg,de-DE,Weg,false
Rosengasse,de-DE,Gasse,false
Rosenplatz,de-DE,Platz,false
Rosenallee,de-DE,Allee,false
Rosenring,de-DE,Ring,false
Rosendamm,de-DE,Damm,false
Rosensteig,de-DE,Steig,false
Rosenpfad,de-DE,Pfad,false
Rosenhof,de-DE,Hof,false
Rosenkamp,de-DE,Kamp,false
Tannenstraße,de-DE,Straße,false
Tannenweg,de-DE,Weg,false
Tannengasse,de-DE,Gasse,false
Tannenplatz,de-DE,Platz,false
Tannenallee,de-DE,Allee,false
Tannenring,de-DE,Ring,false
Tannendamm,de-DE,Damm,false
Tannensteig,de-DE,Steig,false
Tannenpfad,de-DE,Pfad,false
Tannenhof,de-DE,Hof,false
Tannenkamp,de-DE,Kamp,false
Buchenstraße,de-DE,Straße,false
Buchenweg,de-DE,Weg,false
Buchengasse,de-DE,Gasse,false
Buchenplatz,de-DE,Platz,false
Buchenallee,de-DE,Allee,false
Buchenring,de-DE,Ring,false
Buchendamm,de-DE,Damm,false
Buchensteig,de-DE,Steig,false
Buchenpfad,de-DE,Pfad,false
Buchenhof,de-DE,Hof,false
Buchenkamp,de-DE,Kamp,false
Eichenstraße,de-DE,Straße,false
Eichenweg,de-DE,Weg,false
Eichengasse,de-DE,Gasse,false
Eichenplatz,de-DE,Platz,false
Eichenallee,de-DE,Allee,false
Eichenring,de-DE,Ring,false
Eichendamm,de-DE,Damm,false
Eichensteig,de-DE,Steig,false
Eichenpfad,de-DE,Pfad,false
Eichenhof,de-DE,Hof,false
Eichenkamp,de-DE,Kamp,false
Erlenstraße,de-DE,Straße,false
Erlenweg,de-DE,Weg,false
Erlengasse,de-DE,Gasse,false
Erlenplatz,de-DE,Platz,false
Erlenallee,de-DE,Allee,false
Erlenring,de-DE,Ring,false
Erlendamm,de-DE,Damm,false
Erlensteig,de-DE,Steig,false
Erlenpfad,de-DE,Pfad,false
Erlenhof,de-DE,Hof,false
Erlenkamp,de-DE,Kamp,false
Eschenstraße,de-DE,Straße,false
Eschenweg,de-DE,Weg,false
Eschengasse,de-DE,Gasse,false
Eschenplatz,de-DE,Platz,false
Eschenallee,de-DE,Allee,false
Eschenring,de-DE,Ring,false
Eschendamm,de-DE,Damm,false
Eschensteig,de-DE,Steig,false
Eschenpfad,de-DE,Pfad,false
Eschenhof,de-DE,Hof,false
Eschenkamp,de-DE,Kamp,false
Fichtenstraße,de-DE,Straße,false
Fichtenweg,de-DE,Weg,false
Fichtengasse,de-DE,Gasse,false
Fichtenplatz,de-DE,Platz,false
Fichtenallee,de-DE,Allee,false
Fichtenring,de-DE,Ring,false
Fichtendamm,de-DE,Damm,false
Fichtensteig,de-DE,Steig,false
Fichtenpfad,de-DE,Pfad,false
Fichtenhof,de-DE,Hof,false
Fichtenkamp,de-DE,Kamp,false
Föhrenstraße,de-DE,Straße,false
Föhrenweg,de-DE,Weg,false
Föhrengasse,de-DE,Gasse,false
Föhrenplatz,de-DE,Platz,false
Föhrenallee,de-DE,Allee,false
Föhrenring,de-DE,Ring,false
Föhrendamm,de-DE,Damm,false
Föhrensteig,de-DE,Steig,false
Föhrenpfad,de-DE,Pfad,false
Föhrenhof,de-DE,Hof,false
