vorname,geschlecht,sprachraum,g_1930,g_1940,g_1950,g_1960,g_1970,g_1980,g_1990,g_2000
Louis,M,fr,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Gabriel,M,fr,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Nathan,M,fr,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Arthur,M,fr,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Théo,M,fr,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Loïc,M,fr,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Yann,M,fr,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Maria,W,it,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Rosa,W,it,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Anna,W,it,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Giuseppina,W,it,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Carla,W,it,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Franca,W,it,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Luisa,W,it,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Gabriella,W,it,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Patrizia,W,it,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Daniela,W,it,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Paola,W,it,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Laura,W,it,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Cristina,W,it,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Monica,W,it,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Simona,W,it,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Elisa,W,it,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Chiara,W,it,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Valentina,W,it,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Silvia,W,it,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Giulia,W,it,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Martina,W,it,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Alessia,W,it,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Sara,W,it,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Sofia,W,it,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Aurora,W,it,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Giorgia,W,it,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Alice,W,it,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Emma,W,it,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Greta,W,it,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Beatrice,W,it,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Giovanni,M,it,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Giuseppe,M,it,100.0,80.1,41.1,13.5,2.9,1.0,1.0,1.0
Mario,M,it,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Luigi,M,it,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Franco,M,it,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Pietro,M,it,80.1,100.0,80.1,41.1,13.5,2.9,1.0,1.0
Roberto,M,it,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Paolo,M,it,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Claudio,M,it,41.1,80.1,100.0,80.1,41.1,13.5,2.9,1.0
Marco,M,it,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Stefano,M,it,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Massimo,M,it,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Fabio,M,it,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Andrea,M,it,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Luca,M,it,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Alessandro,M,it,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Matteo,M,it,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Davide,M,it,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Simone,M,it,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Francesco,M,it,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Lorenzo,M,it,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Riccardo,M,it,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Gabriele,M,it,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Leonardo,M,it,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Tommaso,M,it,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Mattia,M,it,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Edoardo,M,it,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Dario,M,it,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Nicola,M,it,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Michele,M,it,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Fatma,W,international,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Ayşe,W,international,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Elif,W,international,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Zeynep,W,international,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Aylin,W,international,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Meryem,W,international,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Ana,W,international,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Maria José,W,international,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Carla,W,international,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Ivana,W,international,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Dragana,W,international,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Jelena,W,international,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Milica,W,international,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Vesna,W,international,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Amira,W,international,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Leila,W,international,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Priya,W,international,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Olga,W,international,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Svetlana,W,international,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Katarzyna,W,international,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Agnieszka,W,international,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Eleni,W,international,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Sofia,W,international,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Aisha,W,international,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Mehmet,M,international,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Mustafa,M,international,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Emre,M,international,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Can,M,international,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Murat,M,international,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Ali,M,international,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
José,M,international,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Carlos,M,international,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Miguel,M,international,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Dragan,M,international,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Goran,M,international,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Milan,M,international,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Nikola,M,international,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Luka,M,international,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Amir,M,international,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Omar,M,international,1.0,1.0,2.9,13.5,41.1,80.1,100.0,80.1
Rajesh,M,international,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Igor,M,international,2.9,13.5,41.1,80.1,100.0,80.1,41.1,13.5
Piotr,M,international,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Tomasz,M,international,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Dimitrios,M,international,13.5,41.1,80.1,100.0,80.1,41.1,13.5,2.9
Yannis,M,international,1.0,2.9,13.5,41.1,80.1,100.0,80.1,41.1
Samuel,M,international,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
Adam,M,international,1.0,1.0,1.0,2.9,13.5,41.1,80.1,100.0
